






Time,Channel,id,Flags,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Counter,AbsTime
0.41009,2,259,196610,8,d9,0c,75,07,23,0e,ff,0c,65,2024-11-16 12:24:15
0.41022,2,1554,196610,8,b3,c9,10,c4,21,08,a2,6d,66,2024-11-16 12:24:15
0.41036,2,1555,196610,8,00,00,80,69,f0,04,5a,d0,67,2024-11-16 12:24:15
0.41409,2,259,196610,8,d8,0c,74,07,24,0e,ff,0c,68,2024-11-16 12:24:15
0.41608,2,101,196610,8,6a,bc,73,46,0d,25,17,44,69,2024-11-16 12:24:15
0.41809,2,259,196610,8,d8,0c,76,07,22,0e,ff,0c,70,2024-11-16 12:24:15
0.41913,2,1552,196610,8,0e,04,00,26,d1,00,74,0d,71,2024-11-16 12:24:15
0.41927,2,1553,196610,8,66,05,0a,c7,e2,01,98,58,72,2024-11-16 12:24:15
0.42120,2,1554,196610,8,db,c9,10,05,28,08,4d,73,73,2024-11-16 12:24:15
0.42133,2,1555,196610,8,00,00,80,8c,ed,04,58,cd,74,2024-11-16 12:24:15
0.42209,2,259,196610,8,d8,0c,75,07,23,0e,fd,0c,75,2024-11-16 12:24:15
0.42609,2,259,196610,8,d9,0c,76,07,22,0e,00,0d,76,2024-11-16 12:24:15
0.42620,2,101,196610,8,6a,bc,73,46,0d,25,17,44,77,2024-11-16 12:24:15
0.43009,2,259,196610,8,da,0c,77,07,22,0e,ff,0c,78,2024-11-16 12:24:15
0.43023,2,1552,196610,8,ed,05,00,07,d0,00,47,2c,79,2024-11-16 12:24:15
0.43036,2,1553,196610,8,d3,08,0a,2f,e5,01,dd,58,80,2024-11-16 12:24:15
0.43221,2,1554,196610,8,06,cb,10,c5,26,08,4d,73,81,2024-11-16 12:24:15
0.43235,2,1555,196610,8,00,00,80,8d,f0,04,84,cc,82,2024-11-16 12:24:15
0.43409,2,259,196610,8,d8,0c,77,07,23,0e,fd,0c,83,2024-11-16 12:24:15
0.43608,2,101,196610,8,6a,bc,73,46,0d,25,17,44,84,2024-11-16 12:24:15
0.43809,2,259,196610,8,d8,0c,76,07,23,0e,ff,0c,85,2024-11-16 12:24:15
0.44113,2,1552,196610,8,ff,03,00,f3,d0,00,cd,4a,86,2024-11-16 12:24:15
0.44127,2,1553,196610,8,c2,07,0a,83,e8,01,a1,5f,87,2024-11-16 12:24:15
0.44209,2,259,196610,8,da,0c,77,07,22,0e,ff,0c,88,2024-11-16 12:24:15
0.44324,2,1554,196610,8,ef,cc,10,0b,28,08,28,70,89,2024-11-16 12:24:15
0.44337,2,1555,196610,8,00,00,80,a6,f1,04,01,d3,90,2024-11-16 12:24:15
0.44609,2,259,196610,8,da,0c,77,07,23,0e,fe,0c,91,2024-11-16 12:24:15
0.44620,2,101,196610,8,6a,bc,73,46,0d,25,17,44,92,2024-11-16 12:24:15
0.45009,2,259,196610,8,db,0c,76,07,24,0e,fe,0c,93,2024-11-16 12:24:15
0.45213,2,1552,196610,8,bc,07,00,77,d2,00,ad,5a,94,2024-11-16 12:24:15
0.45226,2,1553,196610,8,83,03,0a,9b,e2,01,37,5a,95,2024-11-16 12:24:15
0.45409,2,259,196610,8,db,0c,77,07,23,0e,fe,0c,96,2024-11-16 12:24:15
0.45425,2,1554,196610,8,9c,cc,10,4d,27,08,5e,75,97,2024-11-16 12:24:15
0.45439,2,1555,196610,8,00,00,80,ca,eb,04,6c,d6,98,2024-11-16 12:24:15
0.45607,2,101,196610,8,6a,bc,73,46,0d,25,17,44,99,2024-11-16 12:24:15
0.45809,2,259,196610,8,d9,0c,77,07,23,0e,fe,0c,100,2024-11-16 12:24:15
0.46209,2,259,196610,8,da,0c,77,07,23,0e,fe,0c,101,2024-11-16 12:24:15
0.46313,2,1552,196610,8,33,06,00,e6,cc,00,3b,6a,102,2024-11-16 12:24:15
0.46326,2,1553,196610,8,0a,0a,0a,04,e5,01,66,5c,103,2024-11-16 12:24:15
0.46527,2,1554,196610,8,8d,d3,10,5c,28,08,0a,73,104,2024-11-16 12:24:15
0.46540,2,1555,196610,8,00,00,80,a9,f1,04,96,d9,105,2024-11-16 12:24:15
0.46609,2,259,196610,8,db,0c,76,07,22,0e,fd,0c,106,2024-11-16 12:24:15
0.46620,2,101,196610,8,6a,bc,73,46,0d,25,17,44,107,2024-11-16 12:24:15
0.47009,2,259,196610,8,db,0c,78,07,23,0e,fe,0c,108,2024-11-16 12:24:15
0.47409,2,259,196610,8,db,0c,79,07,22,0e,fe,0c,109,2024-11-16 12:24:15
0.47422,2,1552,196610,8,f9,04,00,b2,cf,00,f7,76,110,2024-11-16 12:24:15
0.47436,2,1553,196610,8,e4,06,0a,07,e7,01,74,5c,111,2024-11-16 12:24:15
0.47608,2,101,196610,8,6a,bc,73,46,0d,25,17,44,112,2024-11-16 12:24:15
0.47629,2,1554,196610,8,98,d0,10,95,28,08,53,73,113,2024-11-16 12:24:15
0.47642,2,1555,196610,8,00,00,80,df,f2,04,46,d4,114,2024-11-16 12:24:15
