Processing file: ./09-30/test_day_2_063.csv
3.4900999069213867 at 20.20778
3.490799903869629 at 20.60119
3.499499797821045 at 21.06255
3.486999988555908 at 21.40413
3.4948999881744385 at 21.79763
3.488499879837036 at 22.19105
3.4896998405456543 at 22.58452
3.486599922180176 at 22.97798
3.4891998767852783 at 23.76478
3.499499797821045 at 24.15825
3.4930999279022217 at 24.55171
3.499300003051758 at 25.06487
3.4976999759674072 at 25.45815
3.4983999729156494 at 25.85154
3.499699831008911 at 26.24499
3.499699831008911 at 26.63846
3.498999834060669 at 27.03185
3.4988999366760254 at 27.81877
3.499199867248535 at 28.28020
3.499199867248535 at 28.62173
3.499699831008911 at 29.01521
3.5007998943328857 at 29.40866
3.501199960708618 at 29.80207
3.493000030517578 at 30.19547
3.449199914932251 at 30.58888
3.3317999839782715 at 30.98230
2.8208999633789062 at 31.37573
3.0404000282287598 at 31.76913
3.2231998443603516 at 32.28237
2.607499837875366 at 32.67580
2.5848000049591064 at 33.46274
2.9726998805999756 at 33.85616
2.8241000175476074 at 34.24960
3.032599925994873 at 34.64306
2.9320998191833496 at 35.03656
3.4019999504089355 at 35.49788
3.4133999347686768 at 35.83942
3.4193999767303467 at 36.23287
3.4268999099731445 at 36.62633
3.4330999851226807 at 37.01973
3.4350998401641846 at 37.41319
3.4384000301361084 at 37.80663
3.442499876022339 at 38.20009
3.441999912261963 at 38.59353
3.4453999996185303 at 38.98695
3.4489998817443848 at 39.50014
3.4517998695373535 at 39.89348
3.4520998001098633 at 40.28690
3.4529998302459717 at 40.68036
3.454699993133545 at 41.07376
3.455899953842163 at 41.46717
3.457199811935425 at 41.86058
3.45770001411438 at 42.25397
3.45989990234375 at 42.71517
3.461199998855591 at 43.05654
3.462399959564209 at 43.44982
3.4628000259399414 at 43.84319
3.4636998176574707 at 44.23654
3.4628000259399414 at 44.62987
3.464399814605713 at 45.02320
3.466899871826172 at 45.41659
3.466899871826172 at 45.80998
3.469299793243408 at 46.20335
3.4664998054504395 at 46.71651
3.4681999683380127 at 47.10994
3.468400001525879 at 47.50331
3.471400022506714 at 47.89672
3.4721999168395996 at 48.29017
3.470899820327759 at 48.68362
3.4716999530792236 at 49.07706
3.471299886703491 at 49.47047
3.47409987449646 at 49.93176
