Processing file: ./09-30/test_day_2_063.csv
-0.1599999964237213 at 0.32513
0.07999999821186066 at 9.11429
0.07999999821186066 at 9.90099
-0.07999999821186066 at 10.80763
-0.07999999821186066 at 20.38585
-0.07999999821186066 at 23.94286
0.07999999821186066 at 28.80043
0.07999999821186066 at 32.46137
Processing file: ./09-30/test_day_2_062.csv
-0.07999999821186066 at 0.71876
-0.07999999821186066 at 1.11207
-0.07999999821186066 at 2.68531
-0.1599999964237213 at 3.19846
-0.07999999821186066 at 5.95221
-0.07999999821186066 at 7.14839
-0.07999999821186066 at 7.93524
-0.07999999821186066 at 10.80853
-0.07999999821186066 at 14.75796
-0.07999999821186066 at 15.93798
-0.1599999964237213 at 16.33127
-0.07999999821186066 at 16.72455
Processing file: ./09-30/test_day_2_060.csv
-0.07999999821186066 at 1.50523
-0.07999999821186066 at 2.29179
0.07999999821186066 at 4.37806
-0.07999999821186066 at 4.77136
-0.07999999821186066 at 5.55805
-0.07999999821186066 at 5.95137
-0.07999999821186066 at 7.14732
-0.1599999964237213 at 7.54059
Processing file: ./09-30/test_day_2_074.csv
-0.07999999821186066 at 0.71757
-0.07999999821186066 at 4.37739
-0.1599999964237213 at 5.16417
-0.07999999821186066 at 5.55753
-0.1599999964237213 at 5.95090
-0.1599999964237213 at 6.75356
-0.1599999964237213 at 7.14691
-0.1599999964237213 at 7.54024
-0.07999999821186066 at 10.41380
-0.1599999964237213 at 10.80721
-0.1599999964237213 at 11.59402
-0.07999999821186066 at 12.38085
-0.07999999821186066 at 13.16763
-0.07999999821186066 at 13.62900
-0.1599999964237213 at 14.36401
-0.07999999821186066 at 15.15085
-0.07999999821186066 at 22.76137
-0.07999999821186066 at 24.84822
-0.07999999821186066 at 25.24162
-0.07999999821186066 at 27.60209
Processing file: ./09-30/test_day_2_061.csv
0.07999999821186066 at 1.50463
0.07999999821186066 at 5.16460
0.07999999821186066 at 6.41268
0.1599999964237213 at 7.93441
Processing file: ./09-30/test_day_2_059.csv
-0.07999999821186066 at 2.29121
-0.07999999821186066 at 2.68452
0.07999999821186066 at 4.37747
0.07999999821186066 at 5.16408
0.07999999821186066 at 12.77304
0.07999999821186066 at 14.36221
-0.07999999821186066 at 20.38187
-0.07999999821186066 at 29.18640
-0.07999999821186066 at 44.32562
-0.07999999821186066 at 44.71895
-0.1599999964237213 at 45.11223
-0.1599999964237213 at 45.50550
-0.1599999964237213 at 45.89880
-0.1599999964237213 at 46.29207
-0.1599999964237213 at 46.68536
-0.1599999964237213 at 47.19848
-0.1599999964237213 at 47.59182
-0.1599999964237213 at 47.98514
Processing file: ./09-30/test_day_2_065.csv
-0.07999999821186066 at 6.75564
-0.07999999821186066 at 7.54236
-0.07999999821186066 at 10.80954
-0.07999999821186066 at 16.72708
Processing file: ./09-30/test_day_2_071.csv
-0.07999999821186066 at 5.55881
-0.1599999964237213 at 8.32823
0.07999999821186066 at 8.72152
0.07999999821186066 at 9.11485
0.5600000023841858 at 11.20174
0.6399999856948853 at 11.59518
1.1200000047683716 at 11.98864
0.7200000286102295 at 12.38207
0.9599999785423279 at 12.77542
0.9599999785423279 at 13.16878
1.3600000143051147 at 13.63003
1.5199999809265137 at 13.97146
0.6399999856948853 at 14.36481
1.1200000047683716 at 14.75820
0.7200000286102295 at 15.15162
1.1200000047683716 at 15.54495
0.9599999785423279 at 15.93826
1.0399999618530273 at 16.33160
1.1200000047683716 at 16.72497
0.9599999785423279 at 17.11837
0.4000000059604645 at 17.63158
0.5600000023841858 at 18.41842
0.800000011920929 at 18.81183
0.800000011920929 at 19.20525
0.5600000023841858 at 19.59865
0.5600000023841858 at 19.99204
0.5600000023841858 at 20.38541
0.1599999964237213 at 20.84678
0.4000000059604645 at 21.18830
-0.1599999964237213 at 21.58184
0.8799999952316284 at 21.97531
0.5600000023841858 at 22.36874
0.8799999952316284 at 22.76222
0.800000011920929 at 23.15562
0.6399999856948853 at 23.54900
0.23999999463558197 at 23.94249
0.6399999856948853 at 24.33592
0.07999999821186066 at 24.84916
-0.1599999964237213 at 26.02922
0.23999999463558197 at 28.06439
0.4000000059604645 at 29.97973
3.2799999713897705 at 30.37313
5.920000076293945 at 30.76656
56.560001373291016 at 31.15999
23.280000686645508 at 31.55340
16.0 at 32.06662
50.63999938964844 at 32.46003
57.20000076293945 at 32.85350
51.91999816894531 at 33.24699
39.279998779296875 at 33.64043
37.68000030517578 at 34.03383
17.280000686645508 at 34.42728
21.760000228881836 at 34.82076
-0.07999999821186066 at 36.01711
-0.07999999821186066 at 44.41417
0.07999999821186066 at 45.59426
0.07999999821186066 at 47.28760
-0.07999999821186066 at 52.02434
-0.07999999821186066 at 56.47179
-0.07999999821186066 at 57.27459
0.07999999821186066 at 60.93530
-0.07999999821186066 at 61.32873
-0.07999999821186066 at 65.27884
0.07999999821186066 at 67.63924
-0.07999999821186066 at 70.11958
-0.07999999821186066 at 70.90650
-0.07999999821186066 at 74.46370
-0.07999999821186066 at 77.33756
0.07999999821186066 at 78.58580
0.07999999821186066 at 79.71411
0.07999999821186066 at 80.10756
0.23999999463558197 at 82.07457
-0.07999999821186066 at 86.53787
0.23999999463558197 at 87.32478
0.3199999928474426 at 87.71825
0.3199999928474426 at 88.11169
0.6399999856948853 at 88.89866
0.6399999856948853 at 89.29206
0.6399999856948853 at 89.80534
0.800000011920929 at 90.19876
0.5600000023841858 at 90.59218
0.5600000023841858 at 90.98559
0.7200000286102295 at 91.37903
0.07999999821186066 at 91.77247
0.5600000023841858 at 92.16580
0.4000000059604645 at 92.55913
0.6399999856948853 at 93.02043
0.5600000023841858 at 93.36189
0.3199999928474426 at 93.75528
0.47999998927116394 at 94.14864
0.5600000023841858 at 94.54198
0.5600000023841858 at 94.93529
0.5600000023841858 at 95.32864
0.4000000059604645 at 95.72206
0.5600000023841858 at 96.11549
0.4000000059604645 at 96.50888
0.47999998927116394 at 97.02207
0.47999998927116394 at 97.41550
0.5600000023841858 at 97.80894
0.5600000023841858 at 98.20237
0.6399999856948853 at 98.59582
1.0399999618530273 at 99.77604
0.6399999856948853 at 100.23732
0.4000000059604645 at 101.36578
0.4000000059604645 at 101.75922
0.07999999821186066 at 102.54618
0.23999999463558197 at 102.93969
0.07999999821186066 at 105.81380
Processing file: ./09-30/test_day_2_070.csv
-0.1599999964237213 at 0.71857
-0.1599999964237213 at 1.11191
-0.1599999964237213 at 2.29179
-0.1599999964237213 at 2.68504
-0.07999999821186066 at 3.59152
-0.07999999821186066 at 3.98478
-0.07999999821186066 at 4.37803
-0.1599999964237213 at 5.16434
-0.1599999964237213 at 5.55761
-0.1599999964237213 at 5.95085
-0.1599999964237213 at 6.41205
-0.07999999821186066 at 17.35191
-0.1599999964237213 at 18.13857
-0.07999999821186066 at 18.53194
-0.1599999964237213 at 19.71221
-0.1599999964237213 at 20.10562
-0.1599999964237213 at 20.49904
-0.1599999964237213 at 21.01227
-0.1599999964237213 at 21.40570
-0.07999999821186066 at 22.19256
-0.07999999821186066 at 28.22996
0.07999999821186066 at 30.59062
-0.07999999821186066 at 30.98404
-0.07999999821186066 at 33.75398
-0.07999999821186066 at 34.54087
-0.07999999821186066 at 38.66258
-0.07999999821186066 at 43.45186
-0.07999999821186066 at 44.63227
-0.07999999821186066 at 46.61558
-0.07999999821186066 at 48.58297
-0.07999999821186066 at 48.97646
-0.07999999821186066 at 49.36997
-0.07999999821186066 at 49.88326
-0.1599999964237213 at 51.85040
-0.07999999821186066 at 53.09871
-0.07999999821186066 at 53.44021
-0.07999999821186066 at 57.10083
-0.07999999821186066 at 59.06785
-0.07999999821186066 at 60.65764
Processing file: ./09-30/test_day_2_064.csv
-0.07999999821186066 at 1.11251
0.07999999821186066 at 5.56022
0.07999999821186066 at 7.93656
Processing file: ./09-30/test_day_2_058.csv
Processing file: ./09-30/test_day_2_072.csv
-0.1599999964237213 at 0.71832
-0.1599999964237213 at 1.11163
-0.1599999964237213 at 1.50497
-0.1599999964237213 at 1.89835
-0.1599999964237213 at 2.29170
-0.1599999964237213 at 2.68507
-0.1599999964237213 at 3.19819
-0.07999999821186066 at 3.59157
-0.07999999821186066 at 3.98496
-0.1599999964237213 at 4.37834
-0.07999999821186066 at 17.01243
-0.1599999964237213 at 17.79914
-0.1599999964237213 at 18.19253
-0.1599999964237213 at 18.58594
-0.1599999964237213 at 19.09918
-0.1599999964237213 at 19.49252
-0.23999999463558197 at 19.88584
-0.1599999964237213 at 20.27914
-0.1599999964237213 at 20.67255
-0.1599999964237213 at 21.06586
-0.1599999964237213 at 21.45916
-0.1599999964237213 at 21.85245
-0.1599999964237213 at 22.31365
-0.07999999821186066 at 22.65509
-0.1599999964237213 at 23.04844
-0.1599999964237213 at 23.44178
-0.07999999821186066 at 34.56953
-0.1599999964237213 at 34.96295
-0.07999999821186066 at 35.35633
-0.1599999964237213 at 36.14308
-0.1599999964237213 at 36.92982
-0.1599999964237213 at 37.32321
-0.07999999821186066 at 37.83638
