Time,Channel,id,Flags,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Data25,Data26,Data27,Data28,Data29,Data30,Data31,Data32,Data33,Data34,Data35,Data36,Data37,Data38,Data39,Data40,Data41,Data42,Data43,Data44,Data45,Data46,Data47,Data48,Data49,Data50,Data51,Data52,Data53,Data54,Data55,Data56,Data57,Data58,Data59,Data60,Data61,Data62,Data63,Counter,AbsTime
0.35313,2,1552,196610,11,01,06,00,b3,d1,00,38,86,fb,6e,91,05,28,1b,05,65,ed,08,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2024-11-16 12:24:15
0.35326,2,1553,196610,11,62,03,0a,be,e2,01,19,59,08,12,e6,02,26,57,04,b6,f0,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2024-11-16 12:24:15
0.35409,2,259,196610,10,d3,0c,73,07,22,0e,ff,0c,cf,0e,ca,0e,80,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2024-11-16 12:24:15
0.35510,2,1554,196610,11,c7,ca,10,4b,20,08,25,6f,0d,ff,ff,7f,2f,b1,06,0e,06,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,2024-11-16 12:24:15
0.35523,2,1555,196610,11,00,00,80,2f,ee,04,35,c1,22,d3,4a,06,cd,a0,05,2a,01,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,2024-11-16 12:24:15
0.35607,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2024-11-16 12:24:15
0.35809,2,259,196610,10,d4,0c,73,07,23,0e,ff,0c,d1,0e,cf,0e,7f,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,2024-11-16 12:24:15
0.36209,2,259,196610,10,d4,0c,73,07,23,0e,ff,0c,d7,0e,d1,0e,80,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,2024-11-16 12:24:15
0.36413,2,1552,196610,11,eb,04,00,8e,cd,00,40,a3,fb,1a,90,05,5e,1b,05,76,f5,08,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,2024-11-16 12:24:15
0.36609,2,259,196610,10,d5,0c,72,07,23,0e,ff,0c,da,0e,d7,0e,80,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,2024-11-16 12:24:15
0.36620,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,2024-11-16 12:24:15
0.36634,2,1555,196610,11,00,00,80,83,f0,04,81,c3,22,69,4b,06,bb,9e,05,fa,0b,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2024-11-16 12:24:15
0.37009,2,259,196610,10,d4,0c,73,07,22,0e,00,0d,de,0e,db,0e,81,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,2024-11-16 12:24:15
0.37409,2,259,196610,10,d4,0c,74,07,22,0e,fe,0c,e3,0e,de,0e,7f,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,2024-11-16 12:24:15
0.37513,2,1552,196610,11,bd,03,00,26,d1,00,f8,b7,fb,a6,91,05,bd,1a,05,4f,f7,08,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,2024-11-16 12:24:15
0.37526,2,1553,196610,11,0f,06,0a,b6,e7,01,33,58,08,77,ef,02,b5,55,04,17,f3,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,2024-11-16 12:24:15
0.37608,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,2024-11-16 12:24:15
0.37713,2,1554,196610,11,81,c7,10,d2,21,08,66,6f,0d,ff,ff,7f,46,b5,06,eb,04,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,2024-11-16 12:24:15
0.37726,2,1555,196610,11,00,00,80,78,ea,04,75,c9,22,e3,4c,06,65,9f,05,44,00,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2024-11-16 12:24:15
0.37809,2,259,196610,10,d5,0c,74,07,23,0e,fe,0c,e6,0e,e2,0e,80,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,2024-11-16 12:24:15
