Time,Channel,id,Flags,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Data25,Data26,Data27,Data28,Data29,Data30,Data31,Data32,Data33,Data34,Data35,Data36,Data37,Data38,Data39,Data40,Data41,Data42,Data43,Data44,Data45,Data46,Data47,Data48,Data49,Data50,Data51,Data52,Data53,Data54,Data55,Data56,Data57,Data58,Data59,Data60,Data61,Data62,Data63,Counter,AbsTime
2.92280,1,1312,2,8,03,00,00,00,00,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2389,2024-11-16 12:24:17
2.92609,2,259,196610,10,e9,0c,80,07,22,0e,fd,0c,67,0f,bd,0f,91,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2390,2024-11-16 12:24:17
2.92620,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2391,2024-11-16 12:24:17
2.92713,2,1552,196610,11,fe,03,00,43,d5,00,06,45,01,4e,94,05,a5,23,05,16,03,09,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2392,2024-11-16 12:24:17
2.92726,2,1553,196610,11,28,13,0a,a8,eb,01,05,70,08,ee,84,03,67,5d,04,9b,04,06,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2393,2024-11-16 12:24:17
2.92795,2,6,196610,10,00,00,00,00,00,00,00,00,01,36,13,3f,00,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2394,2024-11-16 12:24:17
2.92796,1,513,2,3,90,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2395,2024-11-16 12:24:17
2.92807,2,100,196610,10,02,00,00,00,00,00,00,00,01,36,13,3f,00,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2396,2024-11-16 12:24:17
2.92811,1,513,2,3,c4,4f,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2397,2024-11-16 12:24:17
2.92826,1,513,2,3,c5,ff,3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2398,2024-11-16 12:24:17
2.93009,2,259,196610,10,ea,0c,81,07,22,0e,fc,0c,69,0f,be,0f,91,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2399,2024-11-16 12:24:17
2.93135,1,385,2,4,30,00,00,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2024-11-16 12:24:17
2.93235,1,385,2,4,27,01,00,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2401,2024-11-16 12:24:17
2.93345,2,1554,196610,11,bb,e3,10,ae,2f,08,d7,8b,0d,ff,ff,7f,d1,cf,06,c0,11,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2402,2024-11-16 12:24:17
2.93359,2,1555,196610,11,00,00,80,92,fa,04,4c,ff,22,20,5c,06,4b,b6,05,85,02,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2403,2024-11-16 12:24:17
2.93409,2,259,196610,10,ea,0c,80,07,21,0e,fc,0c,68,0f,bd,0f,92,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2404,2024-11-16 12:24:17
2.93608,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2405,2024-11-16 12:24:17
2.93809,2,259,196610,10,ea,0c,80,07,22,0e,fd,0c,67,0f,bc,0f,92,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2406,2024-11-16 12:24:17
2.93823,2,1552,196610,11,d9,06,00,f3,d5,00,da,3c,01,ca,92,05,8f,25,05,9a,00,09,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2407,2024-11-16 12:24:17
2.93836,2,1553,196610,11,c9,13,0a,c2,eb,01,bc,6b,08,80,82,03,99,5f,04,9b,04,06,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2408,2024-11-16 12:24:17
2.93893,2,6,196610,10,00,00,00,00,00,00,00,00,01,36,13,3f,00,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2409,2024-11-16 12:24:17
2.93895,1,513,2,3,90,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2410,2024-11-16 12:24:17
2.93906,2,100,196610,10,02,00,00,00,00,00,00,00,01,36,13,3f,00,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2411,2024-11-16 12:24:17
2.93910,1,513,2,3,c4,4f,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2412,2024-11-16 12:24:17
2.93925,1,513,2,3,c5,ff,3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2413,2024-11-16 12:24:17
2.94138,1,385,2,4,30,00,00,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2414,2024-11-16 12:24:17
2.94209,2,259,196610,10,ea,0c,80,07,22,0e,fc,0c,68,0f,bd,0f,91,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2415,2024-11-16 12:24:17
2.94238,1,385,2,4,27,00,00,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2416,2024-11-16 12:24:17
2.94447,2,1554,196610,11,68,e4,10,89,34,08,f1,88,0d,ff,ff,7f,a5,d5,06,ee,11,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2417,2024-11-16 12:24:17
2.94461,2,1555,196610,11,00,00,80,6c,fd,04,cb,ff,22,8c,5a,06,92,b9,05,f3,ff,ff,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418,2024-11-16 12:24:17
2.94609,2,259,196610,10,e9,0c,80,07,22,0e,fd,0c,68,0f,be,0f,92,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2419,2024-11-16 12:24:17
2.94620,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2420,2024-11-16 12:24:17
2.94913,2,1552,196610,11,41,01,00,0c,d0,00,e5,3a,01,4e,94,05,2d,21,05,91,03,09,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2421,2024-11-16 12:24:17
2.94927,2,1553,196610,11,9f,10,0a,24,ea,01,0f,6c,08,18,87,03,89,5c,04,aa,01,06,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2422,2024-11-16 12:24:17
2.94993,2,6,196610,10,00,00,00,00,00,00,00,00,2e,d9,12,3f,00,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2423,2024-11-16 12:24:17
2.94994,1,513,2,3,90,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2424,2024-11-16 12:24:17
2.95005,2,100,196610,10,02,00,00,00,00,00,00,00,2e,d9,12,3f,00,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2425,2024-11-16 12:24:17
2.95009,1,513,2,3,c4,4f,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2426,2024-11-16 12:24:17
2.95016,2,259,196610,10,ea,0c,81,07,22,0e,09,0d,67,0f,bd,0f,91,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2427,2024-11-16 12:24:17
2.95024,1,513,2,3,c5,ff,3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2428,2024-11-16 12:24:17
2.95132,1,385,2,4,30,00,00,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2429,2024-11-16 12:24:17
2.95232,1,385,2,4,27,02,00,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2430,2024-11-16 12:24:17
2.95409,2,259,196610,10,ea,0c,80,07,23,0e,fd,0c,69,0f,bd,0f,91,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2431,2024-11-16 12:24:17
2.95549,2,1554,196610,11,a2,e2,10,d0,37,08,d7,8b,0d,ff,ff,7f,a4,cd,06,3e,13,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2432,2024-11-16 12:24:17
2.95563,2,1555,196610,11,00,00,80,24,f9,04,a0,00,23,5d,57,06,cf,bb,05,40,03,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2433,2024-11-16 12:24:17
2.95608,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2434,2024-11-16 12:24:17
2.95809,2,259,196610,10,ea,0c,7f,07,22,0e,fc,0c,68,0f,bd,0f,92,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2435,2024-11-16 12:24:17
2.96013,2,1552,196610,11,99,02,00,53,d5,00,84,3a,01,dd,92,05,d7,23,05,66,05,09,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2436,2024-11-16 12:24:17
2.96026,2,1553,196610,11,28,13,0a,91,e7,01,8e,6a,08,d8,86,03,f7,5b,04,ca,00,06,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437,2024-11-16 12:24:17
2.96092,2,6,196610,10,00,00,00,00,00,00,00,00,01,36,13,3f,00,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2438,2024-11-16 12:24:17
2.96094,1,513,2,3,90,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2439,2024-11-16 12:24:17
2.96104,2,100,196610,10,02,00,00,00,00,00,00,00,01,36,13,3f,00,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2440,2024-11-16 12:24:17
2.96108,1,513,2,3,c4,4f,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2441,2024-11-16 12:24:17
2.96124,1,513,2,3,c5,ff,3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442,2024-11-16 12:24:17
2.96141,1,385,2,4,30,00,00,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2443,2024-11-16 12:24:17
2.96209,2,259,196610,10,eb,0c,81,07,22,0e,fd,0c,68,0f,bc,0f,92,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2444,2024-11-16 12:24:17
2.96234,1,385,2,4,27,02,00,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2445,2024-11-16 12:24:17
2.96609,2,259,196610,10,ea,0c,81,07,22,0e,ff,0c,68,0f,bd,0f,92,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2446,2024-11-16 12:24:17
2.96620,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2447,2024-11-16 12:24:17
2.96652,2,1554,196610,11,48,e2,10,f4,30,08,05,8e,0d,ff,ff,7f,a9,cf,06,74,0d,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,2024-11-16 12:24:17
2.96665,2,1555,196610,11,00,00,80,13,00,05,3b,fd,22,24,59,06,88,ba,05,dd,0b,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2449,2024-11-16 12:24:17
2.97009,2,259,196610,10,eb,0c,7f,07,22,0e,fe,0c,68,0f,bd,0f,93,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450,2024-11-16 12:24:17
2.97113,2,1552,196610,11,f7,02,00,b6,d4,00,58,47,01,24,93,05,53,24,05,7d,02,09,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2451,2024-11-16 12:24:17
2.97127,2,1553,196610,11,a2,12,0a,07,e7,01,11,70,08,e3,87,03,b8,5b,04,28,fa,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2452,2024-11-16 12:24:17
2.97133,1,385,2,4,30,00,00,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2453,2024-11-16 12:24:17
2.97191,2,6,196610,10,00,00,00,00,00,00,00,00,2e,d9,12,3f,00,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2454,2024-11-16 12:24:17
2.97193,1,513,2,3,90,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2455,2024-11-16 12:24:17
2.97203,2,100,196610,10,02,00,00,00,00,00,00,00,2e,d9,12,3f,00,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456,2024-11-16 12:24:17
2.97208,1,513,2,3,c4,4f,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457,2024-11-16 12:24:17
2.97223,1,513,2,3,c5,ff,3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2458,2024-11-16 12:24:17
2.97240,1,385,2,4,27,00,00,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2459,2024-11-16 12:24:17
2.97409,2,259,196610,10,eb,0c,81,07,22,0e,fd,0c,69,0f,bd,0f,91,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2460,2024-11-16 12:24:17
2.97608,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2461,2024-11-16 12:24:17
2.97754,2,1554,196610,11,88,df,10,03,30,08,6d,8c,0d,ff,ff,7f,2e,d4,06,85,0d,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462,2024-11-16 12:24:17
2.97768,2,1555,196610,11,00,00,80,fc,fe,04,fb,fc,22,70,59,06,d8,ba,05,f4,ff,ff,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2463,2024-11-16 12:24:17
2.97809,2,259,196610,10,ea,0c,81,07,23,0e,fd,0c,68,0f,bd,0f,91,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2464,2024-11-16 12:24:17
2.98128,1,385,2,4,30,00,00,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2465,2024-11-16 12:24:17
2.98209,2,259,196610,10,eb,0c,7f,07,22,0e,fe,0c,67,0f,bd,0f,92,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2466,2024-11-16 12:24:17
2.98223,2,1552,196610,11,f9,04,00,77,d4,00,27,55,01,7d,96,05,56,26,05,7b,06,09,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467,2024-11-16 12:24:17
2.98227,1,385,2,4,27,ff,ff,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2468,2024-11-16 12:24:17
2.98236,2,1553,196610,11,64,12,0a,86,e8,01,00,6d,08,9a,88,03,89,5c,04,40,02,06,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2469,2024-11-16 12:24:17
2.98291,2,6,196610,10,00,00,00,00,00,00,00,00,2e,d9,12,3f,00,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2470,2024-11-16 12:24:17
2.98292,1,513,2,3,90,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2471,2024-11-16 12:24:17
2.98303,2,100,196610,10,02,00,00,00,00,00,00,00,2e,d9,12,3f,00,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2472,2024-11-16 12:24:17
2.98307,1,513,2,3,c4,4f,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2473,2024-11-16 12:24:17
2.98322,1,513,2,3,c5,ff,3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2474,2024-11-16 12:24:17
2.98609,2,259,196610,10,e9,0c,80,07,22,0e,fe,0c,68,0f,bc,0f,92,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2475,2024-11-16 12:24:17
2.98620,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2476,2024-11-16 12:24:17
2.98856,2,1554,196610,11,a2,e2,10,96,2d,08,6d,8a,0d,ff,ff,7f,af,d2,06,be,11,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2477,2024-11-16 12:24:17
2.98869,2,1555,196610,11,00,00,80,ed,fe,04,73,fe,22,70,59,06,d8,ba,05,44,00,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478,2024-11-16 12:24:17
2.99009,2,259,196610,10,ea,0c,7f,07,21,0e,fd,0c,67,0f,be,0f,92,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2479,2024-11-16 12:24:17
2.99130,1,385,2,4,30,00,00,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2480,2024-11-16 12:24:17
2.99230,1,385,2,4,27,01,00,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2481,2024-11-16 12:24:17
2.99313,2,1552,196610,11,00,03,00,0c,d0,00,56,61,01,9f,90,05,2d,21,05,7d,02,09,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2482,2024-11-16 12:24:17
2.99327,2,1553,196610,11,3e,11,0a,45,e7,01,78,6b,08,a3,86,03,52,5a,04,ff,00,06,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2483,2024-11-16 12:24:17
2.99390,2,6,196610,10,00,00,00,00,00,00,00,00,5b,7c,12,3f,00,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2484,2024-11-16 12:24:17
2.99391,1,513,2,3,90,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2485,2024-11-16 12:24:17
2.99402,2,100,196610,10,02,00,00,00,00,00,00,00,5b,7c,12,3f,00,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2486,2024-11-16 12:24:17
2.99406,1,513,2,3,c4,4f,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2487,2024-11-16 12:24:17
2.99413,2,259,196610,10,eb,0c,81,07,21,0e,fd,0c,67,0f,be,0f,91,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2488,2024-11-16 12:24:17
2.99421,1,513,2,3,c5,ff,3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2489,2024-11-16 12:24:17
2.99608,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2490,2024-11-16 12:24:17
2.99809,2,259,196610,10,eb,0c,7f,07,22,0e,fd,0c,67,0f,be,0f,92,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2491,2024-11-16 12:24:17
2.99957,2,1554,196610,11,68,e3,10,69,2c,08,27,88,0d,ff,ff,7f,bc,cf,06,bb,0b,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2492,2024-11-16 12:24:17
2.99971,2,1555,196610,11,00,00,80,db,fc,04,d1,fd,22,7f,5b,06,e0,b5,05,f4,ff,ff,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2493,2024-11-16 12:24:17
3.00124,1,385,2,4,30,00,00,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2494,2024-11-16 12:24:17
3.00209,2,259,196610,10,ea,0c,81,07,22,0e,ff,0c,67,0f,be,0f,91,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495,2024-11-16 12:24:17
3.00224,1,385,2,4,27,ff,ff,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2496,2024-11-16 12:24:17
3.00413,2,1552,196610,11,3c,06,00,64,d3,00,78,60,01,33,91,05,24,22,05,fd,02,09,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497,2024-11-16 12:24:17
3.00427,2,1553,196610,11,96,10,0a,86,e8,01,d0,70,08,e3,87,03,80,59,04,86,03,06,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2498,2024-11-16 12:24:17
3.00489,2,6,196610,10,00,00,00,00,00,00,00,00,2e,d9,12,3f,00,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2499,2024-11-16 12:24:17
3.00490,1,513,2,3,90,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2024-11-16 12:24:17
3.00501,2,100,196610,10,02,00,00,00,00,00,00,00,2e,d9,12,3f,00,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2501,2024-11-16 12:24:17
3.00505,1,513,2,3,c4,4f,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2502,2024-11-16 12:24:17
3.00521,1,513,2,3,c5,ff,3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2503,2024-11-16 12:24:17
3.00609,2,259,196610,10,e9,0c,7f,07,22,0e,fe,0c,67,0f,bc,0f,93,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2504,2024-11-16 12:24:17
3.00620,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2505,2024-11-16 12:24:17
3.01009,2,259,196610,10,eb,0c,80,07,22,0e,fd,0c,67,0f,bc,0f,92,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2506,2024-11-16 12:24:17
3.01059,2,1554,196610,11,88,de,10,2b,33,08,60,90,0d,ff,ff,7f,af,d2,06,02,11,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2507,2024-11-16 12:24:17
3.01072,2,1555,196610,11,00,00,80,92,fa,04,ae,ff,22,70,59,06,dc,b9,05,4b,08,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2508,2024-11-16 12:24:17
3.01123,1,385,2,4,30,00,00,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2509,2024-11-16 12:24:17
3.01226,1,385,2,4,27,00,00,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2510,2024-11-16 12:24:17
3.01409,2,259,196610,10,ea,0c,81,07,22,0e,ff,0c,69,0f,bd,0f,92,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2511,2024-11-16 12:24:17
